date,q_m3s,stage_m
2024-11-01,45.8,1.62
2024-11-02,44.3,1.49
2024-11-03,48.3,1.85
2024-11-04,48.2,1.84
2024-11-05,49.8,1.98
2024-11-06,47.9,1.81
2024-11-07,50.3,2.02
2024-11-08,48.8,1.89
2024-11-09,48.8,1.89
2024-11-10,48.3,1.84
2024-11-11,47.9,1.81
2024-11-12,47.3,1.75
2024-11-13,45.6,1.6
2024-11-14,46.4,1.68
2024-11-15,44.3,1.49
2024-11-16,42.6,1.34
2024-11-17,44.2,1.48
2024-11-18,42.9,1.37
2024-11-19,49.7,1.64
2024-11-20,51.7,1.82
2024-11-21,51.1,1.76
2024-11-22,52.4,1.87
2024-11-23,50.6,1.72
2024-11-24,41.6,1.25
2024-11-25,41.8,1.26
2024-11-26,44.2,1.48
2024-11-27,44.6,1.51
2024-11-28,45.5,1.6
2024-11-29,45.0,1.55
2024-11-30,46.8,1.71
