date,q_m3s,stage_m
2024-11-01,413.8,2.99
2024-11-02,417.9,3.03
2024-11-03,442.8,3.27
2024-11-04,432.9,3.17
2024-11-05,463.5,3.46
2024-11-06,448.2,3.32
2024-11-07,446.5,3.3
2024-11-08,449.2,3.33
2024-11-09,462.4,3.45
2024-11-10,464.1,3.47
2024-11-11,450.9,3.34
2024-11-12,440.4,3.24
2024-11-13,417.2,3.02
2024-11-14,411.5,2.97
2024-11-15,403.5,2.89
2024-11-16,412.0,2.97
2024-11-17,394.5,2.81
2024-11-18,405.2,2.91
2024-11-19,484.3,3.33
2024-11-20,477.8,3.27
2024-11-21,461.3,3.11
2024-11-22,463.5,3.13
2024-11-23,493.5,3.42
2024-11-24,408.9,2.94
2024-11-25,387.9,2.74
2024-11-26,417.2,3.02
2024-11-27,409.8,2.95
2024-11-28,429.0,3.14
2024-11-29,418.1,3.03
2024-11-30,443.5,3.27
