date,q_m3s,stage_m
2024-11-01,950.8,1.98
2024-11-02,972.7,2.07
2024-11-03,1022.9,2.28
2024-11-04,1053.3,2.4
2024-11-05,1071.9,2.48
2024-11-06,1066.5,2.45
2024-11-07,1093.6,2.56
2024-11-08,1088.7,2.54
2024-11-09,1091.7,2.56
2024-11-10,1050.8,2.39
2024-11-11,1010.4,2.22
2024-11-12,1000.9,2.19
2024-11-13,1037.7,2.34
2024-11-14,976.6,2.09
2024-11-15,991.0,2.15
2024-11-16,918.2,1.85
2024-11-17,907.9,1.81
2024-11-18,911.5,1.82
2024-11-19,1107.1,2.29
2024-11-20,1107.4,2.29
2024-11-21,1115.7,2.32
2024-11-22,1096.6,2.25
2024-11-23,1146.7,2.45
2024-11-24,899.9,1.77
2024-11-25,956.2,2.0
2024-11-26,931.5,1.9
2024-11-27,984.1,2.12
2024-11-28,973.7,2.07
2024-11-29,989.4,2.14
2024-11-30,996.3,2.17
